timestamp,run_id,opportunity_id,strategy,chain_id,chain_name,block_number,block_hash,rpc_provider,token_in,token_out,token_decimals,amount_in,venue,pool_address,pool_type,fee_tier,quote_out,quote_status,liquidity_status,gas_units,gas_price,l1_fee,flash_fee,bridge_fee,mev_fee,gross_pnl,net_pnl,pnl_unit,pnl_status,risk_status,simulation_status,execution_status,final_status,failure_code
2026-09-03T00:00:04.890489,RUN-1788372996,OPP-42161-SPAT-20260903-1788373807,Spatial,42161,Arbitrum,,NULL,https://arb1.arbitrum.io/rpc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,6,500000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
2026-09-03T00:00:07.288652,RUN-1788372996,OPP-42161-SPAT-20260903-1788373809,Spatial,42161,Arbitrum,,NULL,https://arb1.arbitrum.io/rpc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,6,1000000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
2026-09-03T00:00:09.562615,RUN-1788372996,OPP-42161-SPAT-20260903-1788373812,Spatial,42161,Arbitrum,,NULL,https://arb1.arbitrum.io/rpc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,6,5000000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
2026-09-03T00:00:12.111716,RUN-1788372996,OPP-42161-SPAT-20260903-1788373814,Spatial,42161,Arbitrum,,NULL,https://arb1.arbitrum.io/rpc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,6,10000000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
2026-09-03T00:00:14.342579,RUN-1788372996,OPP-42161-SPAT-20260903-1788373816,Spatial,42161,Arbitrum,,NULL,https://arb1.arbitrum.io/rpc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,6,50000000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
2026-09-03T00:00:16.731822,RUN-1788372996,OPP-42161-SPAT-20260903-1788373819,Spatial,42161,Arbitrum,,NULL,https://arb1.arbitrum.io/rpc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,6,100000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
2026-09-03T00:00:19.026253,RUN-1788372996,OPP-42161-SPAT-20260903-1788373821,Spatial,42161,Arbitrum,,NULL,https://arb1.arbitrum.io/rpc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,6,500000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
2026-09-03T00:00:21.395935,RUN-1788372996,OPP-42161-SPAT-20260903-1788373823,Spatial,42161,Arbitrum,,NULL,https://arb1.arbitrum.io/rpc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,6,1000000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
2026-09-03T00:00:23.559076,RUN-1788372996,OPP-42161-SPAT-20260903-1788373825,Spatial,42161,Arbitrum,,NULL,https://arb1.arbitrum.io/rpc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,6,5000000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
2026-09-03T00:00:25.781997,RUN-1788372996,OPP-42161-SPAT-20260903-1788373828,Spatial,42161,Arbitrum,,NULL,https://arb1.arbitrum.io/rpc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,6,10000000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
